constituency,party_before,name,party_member,notes,screen_name,user_id
East Devon,Conservative,Simon Jupp,Conservative,"Previous incumbent, Hugo Swire, did not stand",simonjamesjupp,
Stroud,Labour Co-operative,Siobhan Baillie,Conservative,"Defeated incumbent, David Drew",Siobhan_Baillie,
Walsall North,Conservative,Eddie Hughes,Conservative,Seat held,EddieHughes,23951776
Walsall South,Labour,Valerie Vaz,Labour,Seat held,Valerie_VazMP,315283542
Walthamstow,Labour Co-operative,Stella Creasy,Labour Co-operative,Seat held,stellacreasy,
Wansbeck,Labour,Ian Lavery,Labour,Seat held,IanLaveryMP,300872531
North Down,Independent,Stephen Farry,Alliance,"Previous incumbent, Sylvia Hermon, did not stand",StephenFarryMP,
Warley,Labour,John Spellar,Labour,Seat held,spellar,21736214
Aberdeen South,Conservative,Stephen Flynn,Scottish National,"Previous incumbent, Ross Thomson, did not stand",StephenFlynnSNP,
Wycombe,Conservative,Steven Baker,Conservative,Seat held,stevebakerhw,
"Coatbridge, Chryston and Bellshill",Labour,Steven Bonnar,Scottish National,"Defeated incumbent, Hugh Gaffney",StevenBonnarSNP,
Wolverhampton South West,Labour,Stuart Anderson,Conservative,"Defeated incumbent, Eleanor Smith",Stuart4WolvesSW,
Stourbridge,Conservative,Suzanne Webb,Conservative,"Previous incumbent, Margot James, did not stand",Q66Suzi,
Waveney,Conservative,Peter Aldous,Conservative,Seat held,peter_aldous,255998767
Birmingham Hall Green,Labour,Tahir Ali,Labour,"Defeated incumbent, Roger Godsiff",TahirAliMP,
Weaver Vale,Labour,Mike Amesbury,Labour,Seat held,MikeAmesburyMP,20325923
Wellingborough,Conservative,Peter Bone,Conservative,Seat held,PeterBoneUK,871469846
Wells,Conservative,James Heappey,Conservative,Seat held,JSHeappey,446633079
Welwyn Hatfield,Conservative,Grant Shapps,Conservative,Seat held,grantshapps,14104027
Wentworth and Dearne,Labour,John Healey,Labour,Seat held,JohnHealey_MP,376161322
Coventry North West,Labour,Taiwo Owatemi,Labour,"Previous incumbent, Geoffrey Robinson, did not stand",TaiwoOwatemi,
Slough,Labour,Tanmanjeet Dhesi,Labour,Seat held,TanDhesi,
Bristol West,Labour,Thangam Debbonaire,Labour,Seat held,thangammp,
Stafford,Conservative,Theo Clarke,Conservative,"Previous incumbent, Jeremy Lefroy, did not stand",theodoraclarke,
Chipping Barnet,Conservative,Theresa Villiers,Conservative,Seat held,none,none
Suffolk Coastal,Conservative,Therese Coffey,Conservative,Seat held,theresecoffey,
West Lancashire,Labour,Rosie Cooper,Labour,Seat held,rosie4westlancs,110767433
Tonbridge and Malling,Conservative,Thomas Tugendhat,Conservative,Seat held,tomtugendhat,
East Worthing and Shoreham,Conservative,Tim Loughton,Conservative,Seat held,timloughton,
West Worcestershire,Conservative,Harriett Baldwin,Conservative,Seat held,hbaldwin,19177609
Westminster North,Labour,Karen Buck,Labour,Seat held,KarenPBuckMP,259215762
Westmorland and Lonsdale,Liberal Democrats,Tim Farron,Liberal Democrats,Seat held,timfarron,80021045
Weston-Super-Mare,Conservative,John Penrose,Conservative,Seat held,JohnPenroseNews,158315486
Wigan,Labour,Lisa Nandy,Labour,Seat held,lisanandy,94701778
Wimbledon,Conservative,Stephen Hammond,Conservative,Seat held,S_Hammond,47916280
Winchester,Conservative,Steve Brine,Conservative,Seat held,BrineMP,11564602
Windsor,Conservative,Adam Afriyie,Conservative,Seat held,AdamAfriyie,22031058
Wirral South,Labour,Alison McGovern,Labour,Seat held,Alison_McGovern,21713090
Wirral West,Labour,Margaret Greenwood,Labour,Seat held,MGreenwoodWW,1464467370
Witham,Conservative,Priti Patel,Conservative,Seat held,pritipatel,61660254
Witney,Conservative,Robert Courts,Conservative,Seat held,robertcourts,20238327
Ipswich,Labour,Tom Hunt,Conservative,"Defeated incumbent, Sandy Martin",tomhunt1988,
Wokingham,Conservative,John Redwood,Conservative,Seat held,johnredwood,93880122
Gedling,Labour,Tom Randall,Conservative,"Defeated incumbent, Vernon Coaker",tom_randall,
Wolverhampton South East,Labour,Pat McFadden,Labour,Seat held,patmcfaddenmp,25091518
Gower,Labour,Tonia Antoniazzi,Labour,Seat held,ToniaAntoniazzi,
Worcester,Conservative,Robin Walker,Conservative,Seat held,WalkerWorcester,1978270322
Batley and Spen,Labour Co-operative,Kim Leadbeater,Labour,Elected when Tracy Brabin stood down in 2021.,kimleadbeater,
Batley and Spen,Labour Co-operative,Tracy Brabin,Labour Co-operative,Seat held. Stood down to run for another position in 2021.,TracyBrabin,
Copeland,Conservative,Trudy Harrison,Conservative,Seat held,none,none
Worthing West,Conservative,Peter Bottomley,Conservative,Seat held,PBottomleyMP,110405901
Lewisham Deptford,Labour,Vicky Foxcroft,Labour,Seat held,vickyfoxcroft,
Louth and Horncastle,Conservative,Victoria Atkins,Conservative,Seat held,none,none
Ynys M̫n,Labour,Virginia Crosbie,Conservative,"Previous incumbent, Albert Owen, did not stand",none,none
Wyre Forest,Conservative,Mark Garnier,Conservative,Seat held,Mark4WyreForest,20226550
Wythenshawe and Sale East,Labour,Mike Kane,Labour,Seat held,MikeKaneMP,71777646
Yeovil,Conservative,Marcus Fysh,Conservative,Seat held,MarcusFysh,1655569938
North East Fife,Scottish National,Wendy Chamberlain,Liberal Democrats,"Defeated incumbent, Stephen Gethins",wendychambld,
Bath,Liberal Democrats,Wera Hobhouse,Liberal Democrats,Seat held,Wera_Hobhouse,
Colchester,Conservative,Will Quince,Conservative,Seat held,willquince,
Coventry South,Labour,Zarah Sultana,Labour,"Previous incumbent, Jim Cunningham, did not stand",zarahsultana,
