constituency,party_before,name,party_member,notes,screen_name,user_id
East Surrey,Liberal Democrats[h],Claire Coutinho,Conservative,"Previous incumbent, Sam Gyimah, did not stand",ClaireCoutinho,
Central Ayrshire,Scottish National,Philippa Whitford,Scottish National,Seat held,Dr_PhilippaW,2932558313
Belfast South,DUP,Claire Hanna,SDLP,"Defeated incumbent, Emma Little-Pengelly",ClaireHanna,
Leicester East,Labour,Claudia Webbe,Labour,"Previous incumbent, Keith Vaz, did not stand",ClaudiaWebbe,
Sheffield South East,Labour,Clive Betts,Labour,Seat held,none,none
Eltham,Labour,Clive Efford,Labour,Seat held,CliveEfford,
Chatham and Aylesford,Conservative,Tracey Crouch,Conservative,Seat held,tracey_crouch,62613162
Cheadle,Conservative,Mary Robinson,Conservative,Seat held,MaryRobinson01,1048278487
Chelmsford,Conservative,Vicky Ford,Conservative,Seat held,vickyford,14691032
Chelsea and Fulham,Conservative,Greg Hands,Conservative,Seat held,GregHands,125270251
Cheltenham,Conservative,Alex Chalk,Conservative,Seat held,AlexChalkChelt,1407768792
Coventry North East,Labour,Colleen Fletcher,Labour,Seat held,none,none
Chesterfield,Labour,Toby Perkins,Labour,Seat held,tobyperkinsmp,61733092
Chichester,Conservative,Gillian Keegan,Conservative,Seat held,GillianKeegan,2986235404
Foyle,Sinn F̩in,Colum Eastwood,SDLP,"Defeated incumbent, Elisha McCallion",columeastwood,
Chippenham,Conservative,Michelle Donelan,Conservative,Seat held,michelledonelan,116864791
Montgomeryshire,Conservative,Craig Williams,Conservative,"Previous incumbent, Glyn Davies, did not stand",craig4monty,
Chorley,Speaker[g],Lindsay Hoyle,Speaker,Seat held,LindsayHoyle_MP,609096352
St Albans,Conservative,Daisy Cooper,Liberal Democrats,"Defeated incumbent, Anne Main",libdemdaisy,
Southport,Conservative,Damien Moore,Conservative,Seat held,damienmooremp,
City of Chester,Labour,Chris Matheson,Labour,Seat held,ChrisM4Chester,2472200292
Central Suffolk and North Ipswich,Conservative,Dan Poulter,Conservative,Seat held,drdanpoulter,
Clacton,Conservative,Giles Watling,Conservative,Seat held,GilesWatling,37891233
Cleethorpes,Conservative,Martin Vickers,Conservative,Seat held,MartinVickers,831250927
Shrewsbury and Atcham,Conservative,Daniel Kawczynski,Conservative,Seat held,none,none
Clwyd West,Conservative,David Jones,Conservative,Seat held,DavidJonesMP,16970757
Devizes,Conservative,Danny Kruger,Conservative,"Previous incumbent, Claire Perry, did not stand",danny__kruger,
Broxtowe,Change UK[h],Darren Henry,Conservative,"Defeated incumbent, Anna Soubry",DarrenG_Henry,
Angus,Conservative,Dave Doogan,Scottish National,"Defeated incumbent, Kirstene Hair",davedoogansnp,
Southend West,Conservative,Anna Firth,Conservative,Elected in 2022 after the death of David Amess in 2021.,anna_firth,
Southend West,Conservative,David Amess,Conservative,Seat held,amessd_southend,
Monmouth,Conservative,David Davies,Conservative,Seat held,davidtcdavies,
Corby,Conservative,Tom Pursglove,Conservative,Seat held,VotePursglove,1418358025
Banff and Buchan,Conservative,David Duguid,Conservative,Seat held,david_duguid,
Wantage,Conservative,David Johnston,Conservative,"Previous incumbent, Ed Vaizey, did not stand",david4wantage,
"Ruislip, Northwood and Pinner",Conservative,David Simmonds,Conservative,"Previous incumbent, Nick Hurd, did not stand",DSimmonds_RNP,
Somerton and Frome,Conservative,David Warburton,Conservative,Seat held,djwarburton,
Brent Central,Labour,Dawn Butler,Labour,Seat held,dawnbutlerbrent,
Croydon Central,Labour,Sarah Jones,Labour,Seat held,LabourSJ,1337725045
Croydon North,Labour Co-operative,Steve Reed,Labour Co-operative,Seat held,SteveReedMP,23749162
Croydon South,Conservative,Chris Philp,Conservative,Seat held,CPhilpOfficial,89307992
"Cumbernauld, Kilsyth and Kirkintilloch East",Scottish National,Stuart McDonald,Scottish National,Seat held,Stuart_McDonald,211883434
Watford,Conservative,Dean Russell,Conservative,"Previous incumbent, Richard Harrington, did not stand",dean4watford,
Dagenham and Rainham,Labour,Jon Cruddas,Labour,Seat held,JonCruddas_1,499781930
Bishop Auckland,Labour,Dehenna Davison,Conservative,"Defeated incumbent, Helen Goodman",DehennaDavison,
Dartford,Conservative,Gareth Johnson,Conservative,Seat held,GarethJohnsonMP,3202369007
Daventry,Conservative,Chris Heaton-Harris,Conservative,Seat held,chhcalling,80943076
Kingston upon Hull North,Labour,Diana Johnson,Labour,Seat held,DianaJohnsonMP,
Esher and Walton,Conservative,Dominic Raab,Conservative,Seat held,DominicRaab,
Dunfermline and West Fife,Scottish National,Douglas Chapman,Scottish National,Seat held,dougchapmansnp,
"Inverness, Nairn, Badenoch and Strathspey",Scottish National,Drew Hendry,Scottish National,Seat held,drewhendrysnp,
North Norfolk,Liberal Democrats,Duncan Baker,Conservative,"Previous incumbent, Norman Lamb, did not stand",duncancbaker,
Charnwood,Conservative,Edward Argar,Conservative,Seat held,none,none
Kingston and Surbiton,Liberal Democrats,Edward Davey,Liberal Democrats,Seat held,EdwardJDavey,
